Time [s]	Eng. strain [-]	Cast-800-20C-005 [MPa]
0.000487	0.380908	997.872471	
0.000488	0.381746	997.124527	
0.000489	0.382575	996.675691	
0.000490	0.383379	996.975146	
0.000491	0.384211	996.526310	
0.000492	0.385050	995.927399	
0.000493	0.385842	996.625666	
0.000494	0.386647	996.975146	
0.000495	0.387489	996.276880	
0.000496	0.388317	995.927399	
0.000497	0.389136	995.877374	
0.000498	0.389956	995.827696	
0.000499	0.390777	995.778018	
0.000500	0.391611	995.428885	
0.000501	0.392427	995.628291	
0.000502	0.393237	996.077127	
0.000503	0.394101	994.980049	
0.000504	0.394982	993.434135	
0.000505	0.395812	993.284407	
0.000506	0.396626	993.583515	
0.000507	0.397458	993.284407	
0.000508	0.398306	992.486438	
0.000509	0.399144	991.887874	
0.000510	0.399950	992.137304	
0.000511	0.400767	992.037254	
0.000512	0.401626	990.740424	
0.000513	0.402466	989.942801	
0.000514	0.403277	989.992827	
0.000515	0.404099	989.743396	
0.000516	0.404908	989.892776	
0.000517	0.405718	989.992479	
0.000518	0.406580	988.645971	
0.000519	0.407436	987.448843	
0.000520	0.408239	987.698273	
0.000521	0.409027	988.346863	
0.000522	0.409836	988.346863	
0.000523	0.410681	987.299462	
0.000524	0.411529	986.102682	
0.000525	0.412343	985.853599	
0.000526	0.413149	985.803574	
0.000527	0.413991	984.706148	
0.000528	0.414851	983.110210	
0.000529	0.415685	982.262215	
0.000530	0.416505	981.863404	
0.000531	0.417330	981.314865	
0.000532	0.418165	980.566573	
0.000533	0.419015	979.419818	
0.000534	0.419873	978.073309	
0.000535	0.420723	977.025562	
0.000536	0.421546	976.776131	
0.000537	0.422357	976.925859	
0.000538	0.423196	976.327295	
0.000539	0.424044	975.479301	
0.000540	0.424887	974.831059	
0.000541	0.425764	973.235467	
0.000542	0.426639	971.739231	
0.000543	0.427459	971.838587	
0.000544	0.428312	971.090295	
0.000545	0.429226	968.696386	
0.000546	0.430095	967.649334	
0.000547	0.430950	967.101142	
0.000548	0.431859	965.106045	
0.000549	0.432749	963.759189	
0.000550	0.433627	962.861517	
0.000551	0.434542	960.966122	
0.000552	0.435451	959.320158	
0.000553	0.436369	957.475136	
0.000554	0.437309	955.081575	
0.000555	0.438220	953.535314	
0.000556	0.439139	951.839325	
0.000557	0.440096	949.146308	
0.000558	0.441051	946.602672	
0.000559	0.442023	943.759580	
0.000560	0.443051	939.520302	
0.000561	0.444161	933.336299	
0.000562	0.445435	922.963043	
