Time [s]	Eng. strain [-]	Cast-800-20C-007 [MPa]
0.000253	0.207410	908.108330
0.000254	0.208302	908.453348
0.000255	0.209194	909.291346
0.000256	0.210084	910.375835
0.000257	0.210973	910.276965
0.000258	0.211862	910.375149
0.000259	0.212750	911.804656
0.000260	0.213637	912.495035
0.000261	0.214523	912.150017
0.000262	0.215409	912.494691
0.000263	0.216294	913.529402
0.000264	0.217178	914.416493
0.000265	0.218061	914.613548
0.000266	0.218944	914.515020
0.000267	0.219825	915.254491
0.000268	0.220707	915.747472
0.000269	0.221587	915.106872
0.000270	0.222466	915.500982
0.000271	0.223345	916.437164
0.000272	0.224224	915.895092
0.000273	0.225103	916.092490
0.000274	0.225981	917.571089
0.000275	0.226859	917.866671
0.000276	0.227736	918.310217
0.000277	0.228613	920.035306
0.000278	0.229490	920.971832
0.000279	0.230366	921.168887
0.000280	0.231241	921.415378
0.000281	0.232117	921.415378
0.000282	0.232991	921.661525
0.000283	0.233864	922.006542
0.000284	0.234737	922.499523
0.000285	0.235608	923.288086
0.000286	0.236479	922.696578
0.000287	0.237347	921.562997
0.000288	0.238214	922.154505
0.000289	0.239081	922.844541
0.000290	0.239947	922.647486
0.000291	0.240813	922.943069
0.000292	0.233333	923.041596
0.000293	0.234226	922.105413
0.000294	0.235118	921.218323
0.000295	0.235984	921.218323
0.000296	0.236820	922.253376
0.000297	0.237653	923.386614
0.000298	0.238518	923.534234
0.000299	0.239373	924.027214
0.000300	0.240187	925.850831
0.000301	0.241017	927.181811
0.000302	0.241884	927.280681
0.000303	0.242745	927.576264
0.000304	0.243603	927.920938
0.000305	0.244489	927.378522
0.000306	0.245361	927.279995
0.000307	0.246205	928.167429
0.000308	0.247065	928.512447
0.000309	0.247939	928.364484
0.000310	0.248809	928.364484
0.000311	0.249675	928.512447
0.000312	0.250523	929.251918
0.000313	0.251357	930.385499
0.000314	0.252198	931.272590
0.000315	0.253061	931.469645
0.000316	0.253947	930.828701
0.000317	0.254823	930.533119
0.000318	0.255671	931.174062
0.000319	0.256520	931.765227
0.000320	0.257359	932.652318
0.000321	0.258187	933.884770
0.000322	0.259051	933.884770
0.000323	0.259918	933.785899
0.000324	0.260749	934.820609
0.000325	0.261616	934.623554
0.000326	0.262508	933.539409
0.000327	0.263358	933.834991
0.000328	0.264209	934.032046
0.000329	0.265064	934.081138
0.000330	0.265877	935.510302
0.000331	0.266711	936.200681
0.000332	0.267584	935.609516
0.000333	0.268426	936.003626
0.000334	0.269253	936.940152
0.000335	0.270088	937.581096
0.000336	0.270930	938.024641
0.000337	0.271793	937.827243
0.000338	0.272648	937.876335
0.000339	0.273495	938.172261
0.000340	0.274366	937.728715
0.000341	0.275214	938.073390
0.000342	0.276026	939.601081
0.000343	0.276854	940.587042
